ID,Ship,Cruise,mon/day/yr,hh:mm,Dec. Lon (?E),Dec. Lat (?N),true Wind speed [m/s],Air Temperature [?C],Atm. Pressure [mbar],SW temperature [?C],salinity [psu],xCO2atm [ppmv],xCO2sw [ppmv],fCO2atm [?atm],fCO2sw [?atm]
1,R/V AEGAEO,NICOP-2,2/8/2006,10:30,25.1168,40.4729,11.1,1.09,1011.1,10.123,36.65,379.5,337.7,379.6,328.9
2,R/V AEGAEO,NICOP-2,2/8/2006,11:10,25.2287,40.3786,10.6,1.38,1010.9,10.614,36.65,376.7,341.2,376.7,332.2
3,R/V AEGAEO,NICOP-2,2/8/2006,11:50,25.3337,40.2749,8.2,1.92,1010.6,11.196,36.674,374,342.1,373.8,332.7
4,R/V AEGAEO,NICOP-2,2/8/2006,12:30,25.4269,40.1716,10.4,2.22,1010.1,11.72,36.888,374,348.1,373.6,338.2
5,R/V AEGAEO,NICOP-2,2/8/2006,13:10,25.5289,40.0837,12.8,1.99,1009.7,11.967,36.594,375.3,345,374.8,335.1
6,R/V AEGAEO,NICOP-2,2/8/2006,13:50,25.6107,39.9885,12.8,2.23,1009.2,11.98,36.317,373.2,343,372.4,333
7,R/V AEGAEO,NICOP-2,2/8/2006,14:30,25.6523,39.8764,12.3,2.4,1009,12.592,37.397,373.7,338.1,372.9,327.9
8,R/V AEGAEO,NICOP-2,2/8/2006,15:10,25.6498,39.7667,12.8,2.73,1008.5,13.088,38.315,379.9,333,378.8,322.7
9,R/V AEGAEO,NICOP-2,2/8/2006,17:09,25.6983,39.4409,12,3.54,1008.5,14.389,38.976,369.2,330,368,319.4
10,R/V AEGAEO,NICOP-2,2/8/2006,17:50,25.6756,39.314,13.5,3.84,1008.6,14.56,38.994,374.6,330.6,373.3,320
11,R/V AEGAEO,NICOP-2,2/8/2006,18:30,25.6835,39.2344,13.5,4.02,1008.4,14.562,38.993,373.2,336.6,371.8,325.7
12,R/V AEGAEO,NICOP-2,2/8/2006,19:10,25.7798,39.2343,14.5,4.09,1008.4,14.482,38.846,379,335.8,377.6,324.9
13,R/V AEGAEO,NICOP-2,2/8/2006,19:50,25.8069,39.1599,14.5,4.22,1008.6,14.833,38.816,379.8,336.8,378.5,325.9
14,R/V AEGAEO,NICOP-2,2/8/2006,20:30,25.7856,39.1394,12.9,4.38,1008.9,14.794,38.913,377.6,335.5,376.4,324.7
15,R/V AEGAEO,NICOP-2,2/8/2006,21:10,25.6972,39.0527,11.2,4.44,1009.5,14.675,38.998,374.1,331.2,373,320.8
